,IMB211_DP_REP1,IMB211_DP_REP2,IMB211_DP_REP3,IMB211_NDP_REP1,IMB211_NDP_REP2,IMB211_NDP_REP3,R500_DP_REP1,R500_DP_REP2,R500_DP_REP3,R500_NDP_REP1,R500_NDP_REP2,R500_NDP_REP3
Bra033648,294,119,284,265,178,342,388,140,332,34,69,45
Bra032105,54,20,46,4,8,9,4,6,4,8,5,6
Bra019307,878,355,1138,156,206,372,320,366,238,200,344,236
Bra017855,60,19,118,118,122,152,528,267,785,132,185,153
Bra035917,48,35,40,157,93,153,888,718,393,244,410,268
Bra040320,6,NA,6,16,20,34,20,10,14,4,9,5
Bra000292,248,4,48,252,96,123,65,51,255,3,12,4
Bra018935,124,106,134,23,21,38,23,31,15,23,20,20
Bra038432,5,1,6,64,24,22,86,132,586,47,148,118
Bra004749,563,110,311,926,422,401,992,802,1595,299,389,252
Bra022802_Bra022803,1917,1406,1856,205,335,442,511,644,484,404,286,355
Bra020472,412,178,457,130,102,170,211,296,132,210,158,240
Bra007864,320,49,498,1924,742,1437,1146,620,636,486,592,530
Bra035732,184,35,166,19,25,22,16,39,4,32,16,22
Bra012899,1,1,NA,20,7,21,55,98,200,40,76,124
Bra100459,3,NA,18,308,46,115,120,266,136,181,344,224
Bra017619,93,18,84,63,50,79,30,4,40,NA,1,2
Bra039004,90,24,74,112,98,114,122,156,188,66,83,50
Bra013115,36,3,46,368,100,149,183,262,361,256,278,239
Bra035117,606,180,736,46,104,110,31,59,42,32,30,18
Bra027257,2,NA,1,11,6,5,74,513,1130,62,146,78
Bra005743,14,1,9,46,27,39,22,22,14,4,17,11
Bra005564,338,196,317,82,102,132,155,213,190,137,157,160
Bra006850,950,34,1270,1230,1768,1934,747,178,562,65,94,50
Bra028478,73,4,76,460,147,242,486,520,626,398,616,529
Bra019537,6,NA,2,51,10,58,29,68,18,17,36,34
